Jahr,Klassenstufe,Klasse,Aufgabe,Punkte
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,FFD,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,-2
2024,Schuljahre 9 und 10,DSW,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,6
2024,Schuljahre 9 und 10,JZT,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Happy Birthday,6
2024,Schuljahre 9 und 10,DSW,Happy Birthday,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,0
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,WWA,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,0
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,0
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,-2
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,0
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,WWA,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,0
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,-2
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,0
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,0
2024,Schuljahre 9 und 10,KHR,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,0
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,FFD,Superbebras,0
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,-2
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,-2
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,-2
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,WWA,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,FFD,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,KHR,Superbebras,6
2024,Schuljahre 9 und 10,DSW,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,6
2024,Schuljahre 9 und 10,JZT,Superbebras,0
2024,Schuljahre 9 und 10,KHR,Superbebras,0
2024,Schuljahre 9 und 10,DSW,Superbebras,-2
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,0
