Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Achtung Stromschnellen!,Armband auffädeln,Ballon-Maschine,Baumtouren,Baustein-Maschine,Bebrasien,Bergseen,Biber Jones,Biber-Mail-Adressen,Biberholz,Biberone,Bilder verschlüsseln,Blumentöpfe,Brennende Kerzen,Bälle,Der Drachen ist weg!,Der Nächste bitte!,Ein Tag im Nebel,Entdecke Seoul!,Erkundung,Frowny,Gleiche Buchstaben,Happy Birthday,Helligkeitskarte,Hin und Her,Kurierdienst,Mehltransport,Parkplätze,Pip der Pirat,Prüfbiber,Prüfungsplan,Schatzkarte,"Schere, Stein, Papier",Schwarz - Weiss,Sonnige Tage,Stammbaum,Superbebras,Um die Felsen,Umstapeln,Wortketten,Zettel-Wirtschaft,ÖV
2024,,,Schuljahre 9 und 10,ARJ,ulkhx,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,12.0,,,-4.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,ARJ,upafk,,0.0,-3.0,-3.0,6.0,-4.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,ARJ,vawou,,0.0,9.0,9.0,6.0,0.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,ARJ,zqrtx,,0.0,0.0,0.0,0.0,-4.0,,,,,,,12.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,-4.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,axpsi,,0.0,9.0,-3.0,-2.0,0.0,,,,,,,0.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,0.0,,,-4.0,,0.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,dgbml,,0.0,-3.0,0.0,6.0,-4.0,,,,,,,0.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,0.0,,,-4.0,,0.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,elaqw,,0.0,9.0,0.0,6.0,12.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,-4.0,,,-4.0,,0.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,fvzbx,,0.0,9.0,9.0,-2.0,-4.0,,,,,,,12.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,guqem,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,9.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,haqgj,,0.0,9.0,0.0,6.0,-4.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,9.0,-2.0,,,,,,9.0,,,12.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,hmkyf,,0.0,9.0,0.0,-2.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,0.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,ilbwq,,0.0,-3.0,9.0,6.0,12.0,,,,,,,12.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,mkoxc,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,mlyor,,0.0,9.0,9.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,mrlxy,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,9.0,-2.0,,,,,,9.0,,,0.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,pfjoq,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,-4.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,pngyi,,0.0,9.0,-3.0,6.0,12.0,,,,,,,0.0,,,0.0,,-2.0,,,0.0,0.0,9.0,-2.0,,,,,,9.0,,,-4.0,,,-4.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,qhref,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,12.0,,,-4.0,,-2.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,rauml,,0.0,9.0,0.0,-2.0,-4.0,,,,,,,-4.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,0.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,rozkm,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,0.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,-3.0,,,-4.0,,,-4.0,,6.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,tgrdm,,0.0,0.0,0.0,-2.0,-4.0,,,,,,,0.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,-4.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,tjavh,,0.0,9.0,9.0,6.0,12.0,,,,,,,12.0,,,0.0,,-2.0,,,0.0,0.0,0.0,6.0,,,,,,0.0,,,-4.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,urigw,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,uypbd,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,-4.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,vqiyn,,0.0,9.0,-3.0,6.0,-4.0,,,,,,,12.0,,,12.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,CTP,wfjki,,0.0,9.0,0.0,-2.0,-4.0,,,,,,,0.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,0.0,,,-4.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,wygzq,,0.0,9.0,9.0,6.0,12.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,ylepd,,0.0,-3.0,9.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,CTP,yxuvm,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,awskt,,0.0,9.0,9.0,6.0,-4.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,bfuzo,,0.0,9.0,-3.0,6.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,KVZ,bodta,,0.0,9.0,9.0,6.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,cihrx,,0.0,9.0,9.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,dbuqp,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,-4.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,KVZ,jhrai,,0.0,9.0,0.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,jxmwd,,0.0,9.0,-3.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,lytmg,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,12.0,,,-4.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,-3.0,,,-4.0,,,-4.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,nchfi,,0.0,9.0,9.0,6.0,-4.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,nchkl,,0.0,9.0,9.0,6.0,12.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,oiehd,,0.0,9.0,9.0,6.0,-4.0,,,,,,,-4.0,,,12.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,ozncx,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,qsigo,,0.0,9.0,9.0,-2.0,12.0,,,,,,,0.0,,,12.0,,6.0,,,0.0,0.0,9.0,-2.0,,,,,,-3.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,ropnf,,0.0,9.0,9.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,sdpav,,0.0,9.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,0.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,tfnro,,0.0,9.0,9.0,-2.0,12.0,,,,,,,-4.0,,,12.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,-4.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,uwpiz,,0.0,9.0,9.0,-2.0,12.0,,,,,,,-4.0,,,12.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,xgbir,,0.0,9.0,0.0,6.0,-4.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,0.0,,,,,,9.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,KVZ,xicep,,0.0,-3.0,-3.0,-2.0,-4.0,,,,,,,-4.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,6.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,xvrfq,,0.0,9.0,9.0,-2.0,-4.0,,,,,,,-4.0,,,12.0,,-2.0,,,0.0,0.0,9.0,-2.0,,,,,,-3.0,,,12.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,KVZ,zvnpa,,0.0,9.0,-3.0,-2.0,12.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,-3.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,awcru,,0.0,-3.0,0.0,-2.0,0.0,,,,,,,0.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,0.0,,,,,,0.0,,,0.0,,,12.0,,0.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,dlyjp,,0.0,9.0,9.0,6.0,12.0,,,,,,,-4.0,,,12.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,ehzmp,,0.0,9.0,-3.0,6.0,-4.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,9.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,-2.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,fcgyi,,0.0,9.0,0.0,-2.0,-4.0,,,,,,,-4.0,,,0.0,,-2.0,,,0.0,0.0,0.0,-2.0,,,,,,-3.0,,,0.0,,,-4.0,,6.0,,0.0,-3.0,6.0,
