Bebrasien,Bergseen,"Biber Jones",Biber-Mail-Adressen,Biberholz,Biberone,Blumentöpfe,"Brennende Kerzen","Der Drachen ist weg!","Ein Tag im Nebel",Helligkeitskarte,Jahr,Klasse,Klassenstufe,Kurierdienst,Land,Mehltransport,Name,Parkplätze,Prüfungsplan,Schule,"Schwarz - Weiss",Stammbaum,Team,"Um die Felsen",ÖV
6,0,0,0,6,0,-2,0,-3,6,0,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,kubjf,0,0,N/A,-4,0,N/A,0,0
-2,0,0,0,6,0,-2,9,-3,6,-3,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,jtygm,0,0,N/A,0,-2,N/A,0,0
6,-4,0,12,6,-4,-2,9,-3,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,-3,vteks,0,0,N/A,-4,6,N/A,0,-4
-2,0,0,0,-2,0,6,9,9,6,9,2025,JHE,"Schuljahre 9 und 10",-3,N/A,-3,mhvkq,0,0,N/A,-4,6,N/A,0,-4
6,-4,0,-4,6,0,6,9,-3,6,9,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,yaqbs,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,6,0,6,9,0,-2,-3,2025,EQM,"Schuljahre 9 und 10",9,N/A,9,tfbal,0,0,N/A,-4,6,N/A,0,0
6,-4,0,-4,6,0,-2,-3,0,6,9,2025,QTJ,"Schuljahre 9 und 10",9,N/A,9,ldzro,0,0,N/A,0,-2,N/A,0,-4
-2,0,0,0,6,0,6,9,0,6,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,prvdj,0,0,N/A,-4,-2,N/A,0,12
0,0,0,0,0,0,6,9,0,6,-3,2025,QTJ,"Schuljahre 9 und 10",9,N/A,0,ymcts,0,0,N/A,0,-2,N/A,0,0
6,0,0,0,6,0,-2,9,0,6,0,2025,QTJ,"Schuljahre 9 und 10",0,N/A,-3,gkzdm,0,0,N/A,-4,6,N/A,0,0
-2,12,0,0,6,0,6,0,-3,6,-3,2025,EQM,"Schuljahre 9 und 10",0,N/A,0,npvcq,0,0,N/A,-4,6,N/A,0,0
6,0,0,0,6,-4,-2,9,0,6,9,2025,EQM,"Schuljahre 9 und 10",0,N/A,0,lbyzc,0,0,N/A,0,-2,N/A,0,-4
-2,-4,0,-4,6,0,-2,9,9,6,-3,2025,EQM,"Schuljahre 9 und 10",9,N/A,9,stipv,0,0,N/A,-4,-2,N/A,0,-4
6,-4,0,12,-2,-4,-2,9,9,-2,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,qgrmv,0,0,N/A,-4,6,N/A,0,-4
6,-4,0,12,6,-4,6,9,-3,6,-3,2025,XSF,"Schuljahre 9 und 10",-3,N/A,-3,yzirn,0,0,N/A,0,-2,N/A,0,0
-2,-4,0,-4,6,-4,6,9,-3,6,9,2025,JHE,"Schuljahre 9 und 10",9,N/A,-3,embgj,0,0,N/A,-4,6,N/A,0,-4
-2,0,0,0,6,0,-2,9,0,6,9,2025,XSF,"Schuljahre 9 und 10",-3,N/A,0,bedik,0,0,N/A,0,-2,N/A,0,0
6,0,0,0,6,0,-2,-3,-3,6,9,2025,MCV,"Schuljahre 9 und 10",-3,N/A,-3,qwnty,0,0,N/A,0,6,N/A,0,0
6,-4,0,-4,-2,-4,-2,9,9,6,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,-3,gqezy,0,0,N/A,-4,6,N/A,0,12
0,-4,0,-4,6,0,-2,9,-3,6,0,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,ojcqa,0,0,N/A,-4,6,N/A,0,12
6,-4,0,-4,6,-4,6,9,-3,6,9,2025,JHE,"Schuljahre 9 und 10",-3,N/A,-3,lktbn,0,0,N/A,-4,6,N/A,0,-4
6,0,0,0,6,0,6,-3,0,-2,0,2025,MCV,"Schuljahre 9 und 10",-3,N/A,9,icgjm,0,0,N/A,0,-2,N/A,0,0
6,12,0,0,-2,0,-2,-3,0,6,9,2025,JHE,"Schuljahre 9 und 10",0,N/A,0,srtbw,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,0,-2,9,-3,6,9,2025,XSF,"Schuljahre 9 und 10",9,N/A,9,jtfmv,0,0,N/A,-4,-2,N/A,0,-4
0,0,0,0,6,0,6,9,0,-2,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,0,dvouh,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,-4,6,9,-3,6,9,2025,JHE,"Schuljahre 9 und 10",9,N/A,-3,furlj,0,0,N/A,-4,6,N/A,0,-4
-2,-4,0,-4,6,-4,-2,9,-3,-2,-3,2025,EQM,"Schuljahre 9 und 10",9,N/A,9,ubxwa,0,0,N/A,-4,-2,N/A,0,12
6,0,0,0,-2,0,0,9,0,6,-3,2025,MCV,"Schuljahre 9 und 10",0,N/A,0,fslvm,0,0,N/A,0,-2,N/A,0,0
-2,0,0,0,6,-4,6,-3,-3,6,9,2025,JHE,"Schuljahre 9 und 10",0,N/A,9,bdlun,0,0,N/A,-4,-2,N/A,0,-4
6,0,0,0,0,0,0,-3,-3,6,0,2025,QTJ,"Schuljahre 9 und 10",0,N/A,0,fuwpz,0,0,N/A,0,6,N/A,0,0
6,0,0,0,-2,-4,6,9,-3,6,-3,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,9,brqul,0,0,N/A,-4,-2,N/A,0,-4
6,-4,0,12,6,-4,-2,-3,-3,-2,-3,2025,MCV,"Schuljahre 9 und 10",9,N/A,9,ahldi,0,0,N/A,-4,-2,N/A,0,-4
-2,0,0,0,6,0,6,9,-3,6,-3,2025,XSF,"Schuljahre 9 und 10",-3,N/A,-3,qexsu,0,0,N/A,0,-2,N/A,0,0
6,0,0,-4,6,0,-2,-3,9,-2,-3,2025,EQM,"Schuljahre 9 und 10",0,N/A,9,ybcux,0,0,N/A,0,-2,N/A,0,-4
-2,0,0,0,-2,0,6,9,0,-2,-3,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,0,ahugz,0,0,N/A,0,6,N/A,0,0
6,-4,0,0,6,-4,6,9,0,-2,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,vnjym,0,0,N/A,-4,6,N/A,0,-4
6,0,0,0,6,0,-2,-3,0,-2,0,2025,QTJ,"Schuljahre 9 und 10",9,N/A,-3,ckmbl,0,0,N/A,0,-2,N/A,0,0
6,-4,0,-4,-2,0,6,-3,-3,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,9,aevlm,0,0,N/A,-4,-2,N/A,0,-4
0,0,0,0,6,0,6,-3,0,0,0,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,dyjhm,0,0,N/A,0,0,N/A,0,0
0,0,0,-4,-2,0,6,9,-3,6,-3,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,-3,hgdnw,0,0,N/A,-4,6,N/A,0,0
-2,-4,0,12,6,-4,-2,0,-3,6,-3,2025,JHE,"Schuljahre 9 und 10",0,N/A,9,ydgor,0,0,N/A,-4,-2,N/A,0,-4
-2,0,0,-4,-2,0,6,-3,0,6,0,2025,EQM,"Schuljahre 9 und 10",0,N/A,9,iyrzn,0,0,N/A,-4,-2,N/A,0,0
-2,-4,0,-4,6,-4,6,9,-3,6,-3,2025,QTJ,"Schuljahre 9 und 10",9,N/A,-3,fsxkg,0,0,N/A,-4,-2,N/A,0,-4
6,-4,0,-4,-2,-4,6,-3,-3,6,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,9,ltjeq,0,0,N/A,-4,-2,N/A,0,-4
6,-4,0,-4,6,-4,6,-3,9,-2,9,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,-3,zsfwx,0,0,N/A,-4,-2,N/A,0,-4
6,0,0,-4,6,12,-2,-3,-3,-2,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,pebtf,0,0,N/A,-4,-2,N/A,0,-4
-2,0,0,-4,6,12,-2,9,-3,6,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,-3,fspae,0,0,N/A,-4,-2,N/A,0,-4
0,-4,0,0,6,0,-2,-3,0,6,-3,2025,EQM,"Schuljahre 9 und 10",9,N/A,-3,bvrsa,0,0,N/A,-4,0,N/A,0,0
0,0,0,0,0,0,0,0,0,0,0,2025,XSF,"Schuljahre 9 und 10",0,N/A,0,hmkbv,0,0,N/A,0,0,N/A,0,0
-2,0,0,-4,6,12,-2,-3,-3,0,-3,2025,JHE,"Schuljahre 9 und 10",0,N/A,9,btwfj,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,12,-2,-4,6,-3,-3,-2,-3,2025,MCV,"Schuljahre 9 und 10",-3,N/A,9,zithx,0,0,N/A,-4,6,N/A,0,-4
-2,-4,0,-4,-2,-4,-2,9,-3,-2,9,2025,XSF,"Schuljahre 9 und 10",-3,N/A,9,qykih,0,0,N/A,-4,6,N/A,0,-4
-2,0,0,0,0,0,0,0,0,0,0,2025,MCV,"Schuljahre 9 und 10",0,N/A,0,clvxh,0,0,N/A,0,0,N/A,0,0
6,0,0,-4,-2,0,6,-3,0,-2,0,2025,MCV,"Schuljahre 9 und 10",0,N/A,-3,wzmje,0,0,N/A,0,0,N/A,0,0
-2,-4,0,0,-2,0,6,9,-3,-2,0,2025,EQM,"Schuljahre 9 und 10",-3,N/A,9,pgxoq,0,0,N/A,-4,-2,N/A,0,-4
0,0,0,0,6,0,6,-3,-3,0,0,2025,XSF,"Schuljahre 9 und 10",-3,N/A,0,soiuz,0,0,N/A,-4,-2,N/A,0,0
-2,0,0,0,0,0,0,-3,0,-2,-3,2025,JHE,"Schuljahre 9 und 10",0,N/A,9,qzlgv,0,0,N/A,-4,0,N/A,0,0
-2,-4,0,-4,6,0,-2,9,-3,6,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,0,uzria,0,0,N/A,-4,-2,N/A,0,0
-2,-4,0,-4,6,0,-2,-3,-3,6,-3,2025,XSF,"Schuljahre 9 und 10",9,N/A,-3,mjpns,0,0,N/A,-4,-2,N/A,0,0
6,-4,0,-4,-2,-4,6,9,-3,6,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,-3,ozhri,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,12,-2,-4,-2,-3,-3,6,9,2025,EQM,"Schuljahre 9 und 10",-3,N/A,-3,wtboy,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,6,-4,-2,9,-3,-2,-3,2025,XSF,"Schuljahre 9 und 10",-3,N/A,9,qjcmf,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,6,-4,-2,9,-3,-2,-3,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,-3,dhfax,0,0,N/A,-4,6,N/A,0,-4
6,-4,0,-4,6,-4,-2,-3,-3,-2,-3,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,nzjyi,0,0,N/A,-4,-2,N/A,0,-4
-2,0,0,-4,6,0,-2,-3,-3,6,-3,2025,QTJ,"Schuljahre 9 und 10",-3,N/A,0,hlkwr,0,0,N/A,-4,-2,N/A,0,-4
-2,0,0,0,-2,-4,0,-3,-3,-2,0,2025,JHE,"Schuljahre 9 und 10",-3,N/A,9,niytk,0,0,N/A,-4,0,N/A,0,-4
-2,0,0,0,6,0,-2,-3,-3,-2,-3,2025,XSF,"Schuljahre 9 und 10",0,N/A,-3,qpedv,0,0,N/A,-4,-2,N/A,0,0
6,0,0,-4,-2,-4,-2,0,-3,-2,-3,2025,MCV,"Schuljahre 9 und 10",-3,N/A,-3,almvs,0,0,N/A,0,6,N/A,0,-4
-2,-4,0,-4,-2,-4,-2,9,-3,-2,-3,2025,XSF,"Schuljahre 9 und 10",-3,N/A,9,anjls,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,6,-4,-2,9,-3,-2,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,-3,zoicl,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,0,0,0,-3,6,-3,2025,QTJ,"Schuljahre 9 und 10",0,N/A,-3,ikxyn,0,0,N/A,-4,-2,N/A,0,-4
6,-4,0,-4,-2,-4,-2,-3,9,-2,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,-3,nlupw,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,-4,6,-3,-3,6,-3,2025,XSF,"Schuljahre 9 und 10",0,N/A,-3,pkqji,0,0,N/A,-4,-2,N/A,0,-4
0,-4,0,-4,-2,-4,0,-3,-3,6,-3,2025,XSF,"Schuljahre 9 und 10",-3,N/A,-3,dlwyi,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,-4,-2,9,-3,-2,-3,2025,EQM,"Schuljahre 9 und 10",-3,N/A,-3,iuknq,0,0,N/A,-4,-2,N/A,0,-4
-2,-4,0,-4,-2,-4,-2,-3,-3,-2,9,2025,XSF,"Schuljahre 9 und 10",-3,N/A,-3,nycmu,0,0,N/A,-4,-2,N/A,0,-4
