Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Aufgabe,Punkte
2024,,,Schuljahre 9 und 10,CTP,rozkm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,ftzeu,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,pleho,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,qvbfl,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,zqrtx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,nchfi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,elaqw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,ljtwe,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,utbsa,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,ulkhx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,dlyjp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,lquyb,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,tfnro,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,uvbcr,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,nefto,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,guqem,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,xgbir,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,lumfg,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,kwngc,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,lytmg,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,uchxi,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,vkbed,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,ozncx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,lbdke,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,mkoxc,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,qyxro,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,qhref,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,qoukw,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,lxdkq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,bfuzo,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,CTP,ylepd,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,rcnwh,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,gborf,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,nchkl,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,ARJ,afhqp,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,cihrx,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,qgpan,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,oiehd,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,vujhm,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,PTI,rwdlj,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,mwpfq,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,KVZ,uwpiz,,Achtung Stromschnellen!,0
2024,,,Schuljahre 9 und 10,RPS,qmgrv,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,gcytw,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,gnwmq,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,PTI,ehzmp,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,tseqa,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,KVZ,xvrfq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,vjsai,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,fmgzi,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,zvnpa,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,awcru,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,CTP,urigw,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,pngyi,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,sodkh,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,axpsi,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,awply,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,kyeqr,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,dbuqp,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,vqiyn,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,ugzdp,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,bnvec,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,ARJ,blxsv,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,qsigo,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,cnlvu,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,tverz,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,dgbml,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,PTI,hxdyv,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,RPS,wlrmx,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,upafk,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,KVZ,awskt,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,ohaxz,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,yesbo,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,qvjep,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,KVZ,sdpav,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,ropnf,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,jhrai,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,jcnar,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,jynto,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,PTI,rfjiy,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,bycoq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,wujvq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,itrzk,,Armband auffädeln,9
